instant,dteday,hr,weathersit,temp,hum,windspeed,cnt_x,season,yr,mnth,holiday,weekday,workingday,cnt_y
1,2011-01-01,00:00:00,Clear/Partly Cloudy,9.84,81.0,0.0,16,Spring,2011,January,0,Saturday,0,985
2,2011-01-01,01:00:00,Clear/Partly Cloudy,9.02,80.0,0.0,40,Spring,2011,January,0,Saturday,0,985
3,2011-01-01,02:00:00,Clear/Partly Cloudy,9.02,80.0,0.0,32,Spring,2011,January,0,Saturday,0,985
4,2011-01-01,03:00:00,Clear/Partly Cloudy,9.84,75.0,0.0,13,Spring,2011,January,0,Saturday,0,985
5,2011-01-01,04:00:00,Clear/Partly Cloudy,9.84,75.0,0.0,1,Spring,2011,January,0,Saturday,0,985
6,2011-01-01,05:00:00,Cloudy,9.84,75.0,6.0032,1,Spring,2011,January,0,Saturday,0,985
7,2011-01-01,06:00:00,Clear/Partly Cloudy,9.02,80.0,0.0,2,Spring,2011,January,0,Saturday,0,985
8,2011-01-01,07:00:00,Clear/Partly Cloudy,8.200000000000001,86.0,0.0,3,Spring,2011,January,0,Saturday,0,985
9,2011-01-01,08:00:00,Clear/Partly Cloudy,9.84,75.0,0.0,8,Spring,2011,January,0,Saturday,0,985
10,2011-01-01,09:00:00,Clear/Partly Cloudy,13.120000000000001,76.0,0.0,14,Spring,2011,January,0,Saturday,0,985
11,2011-01-01,10:00:00,Clear/Partly Cloudy,15.58,76.0,16.997899999999998,36,Spring,2011,January,0,Saturday,0,985
12,2011-01-01,11:00:00,Clear/Partly Cloudy,14.76,81.0,19.0012,56,Spring,2011,January,0,Saturday,0,985
13,2011-01-01,12:00:00,Clear/Partly Cloudy,17.22,77.0,19.0012,84,Spring,2011,January,0,Saturday,0,985
14,2011-01-01,13:00:00,Cloudy,18.86,72.0,19.999499999999998,94,Spring,2011,January,0,Saturday,0,985
15,2011-01-01,14:00:00,Cloudy,18.86,72.0,19.0012,106,Spring,2011,January,0,Saturday,0,985
16,2011-01-01,15:00:00,Cloudy,18.04,77.0,19.999499999999998,110,Spring,2011,January,0,Saturday,0,985
17,2011-01-01,16:00:00,Cloudy,17.22,82.0,19.999499999999998,93,Spring,2011,January,0,Saturday,0,985
18,2011-01-01,17:00:00,Cloudy,18.04,82.0,19.0012,67,Spring,2011,January,0,Saturday,0,985
19,2011-01-01,18:00:00,Light Snow/Rain,17.22,88.0,16.997899999999998,35,Spring,2011,January,0,Saturday,0,985
20,2011-01-01,19:00:00,Light Snow/Rain,17.22,88.0,16.997899999999998,37,Spring,2011,January,0,Saturday,0,985
21,2011-01-01,20:00:00,Cloudy,16.400000000000002,87.0,16.997899999999998,36,Spring,2011,January,0,Saturday,0,985
22,2011-01-01,21:00:00,Cloudy,16.400000000000002,87.0,12.998000000000001,34,Spring,2011,January,0,Saturday,0,985
23,2011-01-01,22:00:00,Cloudy,16.400000000000002,94.0,15.001299999999999,28,Spring,2011,January,0,Saturday,0,985
24,2011-01-01,23:00:00,Cloudy,18.86,88.0,19.999499999999998,39,Spring,2011,January,0,Saturday,0,985
25,2011-01-02,00:00:00,Cloudy,18.86,88.0,19.999499999999998,17,Spring,2011,January,0,Sunday,0,801
26,2011-01-02,01:00:00,Cloudy,18.04,94.0,16.997899999999998,17,Spring,2011,January,0,Sunday,0,801
27,2011-01-02,02:00:00,Cloudy,17.22,100.0,19.0012,9,Spring,2011,January,0,Sunday,0,801
28,2011-01-02,03:00:00,Cloudy,18.86,94.0,12.998000000000001,6,Spring,2011,January,0,Sunday,0,801
29,2011-01-02,04:00:00,Cloudy,18.86,94.0,12.998000000000001,3,Spring,2011,January,0,Sunday,0,801
30,2011-01-02,06:00:00,Light Snow/Rain,17.22,77.0,19.999499999999998,2,Spring,2011,January,0,Sunday,0,801
31,2011-01-02,07:00:00,Cloudy,16.400000000000002,76.0,12.998000000000001,1,Spring,2011,January,0,Sunday,0,801
32,2011-01-02,08:00:00,Light Snow/Rain,16.400000000000002,71.0,15.001299999999999,8,Spring,2011,January,0,Sunday,0,801
33,2011-01-02,09:00:00,Cloudy,15.58,76.0,15.001299999999999,20,Spring,2011,January,0,Sunday,0,801
34,2011-01-02,10:00:00,Cloudy,14.76,81.0,15.001299999999999,53,Spring,2011,January,0,Sunday,0,801
35,2011-01-02,11:00:00,Cloudy,14.76,71.0,16.997899999999998,70,Spring,2011,January,0,Sunday,0,801
36,2011-01-02,12:00:00,Cloudy,14.76,66.0,19.999499999999998,93,Spring,2011,January,0,Sunday,0,801
37,2011-01-02,13:00:00,Cloudy,14.76,66.0,8.9981,75,Spring,2011,January,0,Sunday,0,801
38,2011-01-02,14:00:00,Light Snow/Rain,14.76,76.0,12.998000000000001,59,Spring,2011,January,0,Sunday,0,801
39,2011-01-02,15:00:00,Light Snow/Rain,13.940000000000001,81.0,11.0014,74,Spring,2011,January,0,Sunday,0,801
40,2011-01-02,16:00:00,Light Snow/Rain,13.940000000000001,71.0,11.0014,76,Spring,2011,January,0,Sunday,0,801
41,2011-01-02,17:00:00,Clear/Partly Cloudy,13.940000000000001,56.99999999999999,12.998000000000001,65,Spring,2011,January,0,Sunday,0,801
42,2011-01-02,18:00:00,Cloudy,14.76,46.0,22.0028,53,Spring,2011,January,0,Sunday,0,801
43,2011-01-02,19:00:00,Clear/Partly Cloudy,13.120000000000001,42.0,30.002599999999997,30,Spring,2011,January,0,Sunday,0,801
44,2011-01-02,20:00:00,Clear/Partly Cloudy,12.299999999999999,39.0,23.9994,22,Spring,2011,January,0,Sunday,0,801
45,2011-01-02,21:00:00,Clear/Partly Cloudy,10.66,44.0,22.0028,31,Spring,2011,January,0,Sunday,0,801
46,2011-01-02,22:00:00,Clear/Partly Cloudy,9.84,44.0,19.999499999999998,9,Spring,2011,January,0,Sunday,0,801
47,2011-01-02,23:00:00,Clear/Partly Cloudy,9.02,47.0,11.0014,8,Spring,2011,January,0,Sunday,0,801
48,2011-01-03,00:00:00,Clear/Partly Cloudy,9.02,44.0,23.9994,5,Spring,2011,January,0,Monday,1,1349
